CodProd,Desc. Prod.,CodBarra
1003981,CX MINISHOW 108 LC GIANDUIA,7896986283666
1004022,CX LC 260 SORTIDO,7896986289019
1004024,CX 300 BOMBONS CS G,7896986285318
1004025,CX 160 BOMBONS CS M,7896986285271
1004224,CX BOMB CHOC BELLAS COM TIARA 750,7896986275166
1004245,MINI ENFEITE BLESS ARVORE,7896986285844
1004250,CX BOMB 108 CHOC BLESS AO LEITE,7896986251870
2000232,BOUQUET DE ROSAS,
2000538,LATA FESTIVAL DE TRUFAS 2015,7896986213229
2001090,GARRAFINHAS VERAO SORTIDAS,7896986220623
2001266,KIT MIAU CAMPANHA CRIANCAS 2017,7896986223815
2001267,KIT LACREME KIDS CAMP CRIAN 2017,7896986223792
2001269,KIT CHOCOBICHOS CAMP CRIANCAS,7896986223808
2001993,KIT 2 LATAS BRIGADERIA CH,7896986236952
2002811,PELUCIA CHOCOMONSTROS SORTEIO,7896986252235
2005821,PANTUFA TOM G CH,7896986213274
2005983,TOUCA SCOOBY DOO,7896986256349
2005984,TOUCA JERRY,7896986256271
2006000,LATA HAPPEE BIRTHDAE HARRY 2024,7896986257087
1000012,CHOCOARTE OBRIGADO 40G,
1000025,CUBO MEU PAI E... 160G,7896986232251
1000218,BOLA EXPLOSIVA 45G,7896986239373
1000258,CARTAO CORACOES MAES 30G,7896986201806
1000260,CUBO MAES 140G,7896986204425
1000268,CUBO AMOR VOCE E SHOW 160G,7896986201783
1000270,CARTAO CORACOES NAMORADOS 30G,7896986201851
1000300,CX MINHAS VOGAIS 100G,7896986202247
1000420,CHOCOARTE OBRIGADO 40G,7896986220258
1000421,CHOCOARTE 40 PARABENS,7896986220265
1000422,CHOCOARTE 40 TE AMO,7896986237843
1000424,CHOCOARTE COM AMOR 40G,1000424
1000430,CUBO NAMORADOS 140G,7896986204418
1000441,CUBO EXPLOSAO DE AMOR 160G,7896986203169
1000454,CUBO MEU PAI E ... 140G,7896986204630
1000455,CHOCOARTE MOUSTACHE PAIS 40G,7896986204746
1000468,CHOCOARTE O PEQUENO PRINCIPE 40G,7896986204708
1000542,SINTONIA CAJU E CANELA 140G,7896986206269
1000602,CUBO SAO JOAO 140G,7896986208300
1000611,CUBO PAIS 2014 140G,7896986208386
1000614,CHOCOARTE PAIS CS 40G,7896986208379
1000634,CUBO CHOCOBICHOS 140 BRIGADEIRO,7896986208782
1000789,COMBO DOCE GESTO 160G,7896986212345
1000799,CARTAO MULHER MARAVILHOSA 30G,7896986212635
1000800,CARTAO SUPER NAMORADO 30G,7896986212697
1000802,BOULEVARD LADIES FIRST 132G,7896986212642
1000862,SINTONIA SABORES CASEIROS 140G,7896986213632
1000870,CACAU BAR BOULEVARD 132G,7896986213670
1000873,CUBO PAIS 140G,7896986213342
1000877,CAIXA LIGA DA JUSTICA 145G,7896986213373
1000882,CHOCOARTE  PAIS 40G,7896986213335
1000888,CARTAO O PQ PRINCIPE 30G,7896986214011
1000889,CUBO PEQUENO PRINCIPE 140G,7896986213960
1000927,CX SINTONIA REFRESCANTE,7896986214486
1001040,CUBO TE AMO 145G,7896986216176
1001041,CUBO MAES DIVERTIDO 145G,7896986216183
1001043,CUBO NAMO CARINH 145G,7896986216190
1001044,CUBO NAMO DIVER 145G,7896986216206
1001054,CHOCOARTE TE AMO 40G,7896986216350
1001056,CHOCOARTE I LOVE YOU 40G,7896986216343
1001062,CARTAO TE AMO 30G,7896986216305
1001063,CARTAO NAMORADOS DIVERT 30G,7896986216329
1001153,CUBO TRES CORACOES 140G,7896986219566
1001169,CX LACREME KIDS 100G,7896986219597
1001172,CUBO CHOCOMONSTROS 140G,7896986219689
1001265,CUBO 145GX24UN,7896986208577
1001489,CUBO VCG CORPORATIVO 108G,7896986227332
1001490,CHOCOSTREET FRAMB E MARACUJA 40G,7896986225888
1001491,CHOCOSTREET BAUNILHA E CAFE  40G,7896986225833
1001492,CHOCOSTREET LAR E MORANGO  40G,7896986225871
1001563,CHOCOARTE 40 TE AMO MAES,7896986227271
1001564,CUBO MAES 145G,7896986229084
1001570,CUBO CREME CHOCOLATE 108G,7896986227004
1001665,CHOCOARTE PARABENS P SEU DIA 40G,7896986230981
1001671,PERSO EMBALAGEM MONDAINE,7896986231230
1001672,PERSO EMBALAGEM SECULUS,7896986231223
1001698,COFRE LACREME KIDS 150,7896986231681
1001699,LIVRO CHOCOBICHOS 100G,7896986231698
1001700,CX MINI DELICIAS 115G,7896986231704
1001701,CHOCOMONSTROS CARA A CARA 75G,7896986232008
1001770,GUARDA ROUPA BELLAS,7896986233609
1001783,CUBO DOCE DE LEITE 145G,7896986235160
1001800,LATA CORPORATIVA 145G,7896986237355
1001982,CX PETIT DELI BELGA,7896986243936
1001983,CX PETIT DELI CUPCAKE,7896986243929
1001985,TRUFAS CHOCOMONSTROS CHAVEIRO,7896986244247
1002009,CUBO INFANTIL ZERO LACTOSE 145G,7896986244964
